ds,y
2022-12-26,28666.0
2022-12-27,28500.0
2022-12-28,28333.0
2022-12-29,28333.0
2022-12-30,28166.0
2022-12-31,28166.0
2023-01-01,28166.0
2023-01-02,27833.0
2023-01-03,27833.0
2023-01-04,28166.0
2023-01-05,27833.0
2023-01-06,27833.0
2023-01-07,27666.0
2023-01-08,27500.0
2023-01-09,27500.0
2023-01-10,27333.0
2023-01-11,27500.0
2023-01-12,27500.0
2023-01-13,27333.0
2023-01-14,27333.0
2023-01-15,27333.0
2023-01-16,27333.0
2023-01-17,27500.0
2023-01-18,27500.0
2023-01-19,27500.0
2023-01-20,27500.0
2023-01-21,27666.0
2023-01-22,27833.0
2023-01-23,27750.0
2023-01-24,27750.0
2023-01-25,27416.0
2023-01-26,27416.0
2023-01-27,27083.0
2023-01-28,27000.0
2023-01-29,27166.0
2023-01-30,27000.0
2023-01-31,27000.0
2023-02-01,26500.0
2023-02-02,26666.0
2023-02-03,26500.0
2023-02-04,26333.0
2023-02-05,26333.0
2023-02-06,26333.0
2023-02-07,26166.0
2023-02-08,26166.0
2023-02-09,26333.0
2023-02-10,26333.0
2023-02-11,26500.0
2023-02-12,26666.0
2023-02-13,26500.0
2023-02-14,26833.0
2023-02-15,26833.0
2023-02-16,26833.0
2023-02-17,26833.0
2023-02-18,26833.0
2023-02-19,26666.0
2023-02-20,26500.0
2023-02-21,26500.0
2023-02-22,26500.0
2023-02-23,26500.0
2023-02-24,26500.0
2023-02-25,26333.0
2023-02-26,26166.0
2023-02-27,26333.0
2023-02-28,26000.0
2023-03-01,26000.0
2023-03-02,26000.0
2023-03-03,25833.0
2023-03-04,26000.0
2023-03-05,26000.0
2023-03-06,26333.0
2023-03-07,26333.0
2023-03-08,26833.0
2023-03-09,27166.0
2023-03-10,27083.0
2023-03-11,27166.0
2023-03-12,27166.0
2023-03-13,27416.0
2023-03-14,27500.0
2023-03-15,28333.0
2023-03-16,29000.0
2023-03-17,29333.0
2023-03-18,29333.0
2023-03-19,29500.0
2023-03-20,29333.0
2023-03-21,29333.0
2023-03-22,29333.0
2023-03-23,29333.0
2023-03-24,29333.0
2023-03-25,29500.0
2023-03-26,29500.0
2023-03-27,29333.0
2023-03-28,29333.0
2023-03-29,29333.0
2023-03-30,29166.0
2023-03-31,28833.0
2023-04-01,28666.0
2023-04-02,28500.0
2023-04-03,27666.0
2023-04-04,27500.0
2023-04-05,27500.0
2023-04-06,27333.0
2023-04-07,27333.0
2023-04-08,27166.0
2023-04-09,27166.0
2023-04-10,27166.0
2023-04-11,27333.0
2023-04-12,27333.0
2023-04-13,27166.0
2023-04-14,26833.0
2023-04-15,26833.0
2023-04-16,26833.0
2023-04-17,27000.0
2023-04-18,26833.0
2023-04-19,26916.0
2023-04-20,27166.0
2023-04-21,27833.0
2023-04-22,27833.0
2023-04-23,27833.0
2023-04-24,27833.0
2023-04-25,27833.0
2023-04-26,27666.0
2023-04-27,27500.0
2023-04-28,27000.0
2023-04-29,27500.0
2023-04-30,27333.0
2023-05-01,27500.0
2023-05-02,27166.0
2023-05-03,27333.0
2023-05-04,27666.0
2023-05-05,27833.0
2023-05-06,28500.0
2023-05-07,28500.0
2023-05-08,28000.0
2023-05-09,28333.0
2023-05-10,28500.0
2023-05-11,28833.0
2023-05-12,28833.0
2023-05-13,30166.0
2023-05-14,30166.0
2023-05-15,30833.0
2023-05-16,31500.0
2023-05-17,31833.0
2023-05-18,31500.0
2023-05-19,31000.0
2023-05-20,31166.0
2023-05-21,31666.0
2023-05-22,31833.0
2023-05-23,31666.0
2023-05-24,31000.0
2023-05-25,31000.0
2023-05-26,31000.0
2023-05-27,31333.0
2023-05-28,31333.0
2023-05-29,31000.0
2023-05-30,31000.0
2023-05-31,30333.0
2023-06-01,30166.0
2023-06-02,30000.0
2023-06-03,30166.0
2023-06-04,30166.0
2023-06-05,29833.0
2023-06-06,29666.0
2023-06-07,30000.0
2023-06-08,30000.0
2023-06-09,29833.0
2023-06-10,30333.0
2023-06-11,30333.0
2023-06-12,30166.0
2023-06-13,30000.0
2023-06-14,30000.0
2023-06-15,29833.0
2023-06-16,29833.0
2023-06-17,29916.0
2023-06-18,29916.0
2023-06-19,29166.0
2023-06-20,29083.0
2023-06-21,29250.0
2023-06-22,29250.0
2023-06-23,29250.0
2023-06-24,29083.0
2023-06-25,29250.0
2023-06-26,29500.0
2023-06-27,29500.0
2023-06-28,29333.0
2023-06-29,29333.0
2023-06-30,29500.0
2023-07-01,29666.0
2023-07-02,29666.0
2023-07-03,29666.0
2023-07-04,29500.0
2023-07-05,29666.0
2023-07-06,29666.0
2023-07-07,29333.0
2023-07-08,29666.0
2023-07-09,29666.0
2023-07-10,29666.0
2023-07-11,29666.0
2023-07-12,29333.0
2023-07-13,29000.0
2023-07-14,28833.0
2023-07-15,29000.0
2023-07-16,29666.0
2023-07-17,29166.0
2023-07-18,29166.0
2023-07-19,29166.0
2023-07-20,29166.0
2023-07-21,29333.0
2023-07-22,30000.0
2023-07-23,30166.0
2023-07-24,30166.0
2023-07-25,29833.0
2023-07-26,29833.0
2023-07-27,30000.0
2023-07-28,30000.0
